"","GNCD_110","GNCD_119","GNCD_107","GNCD_115","DC1DC2Bo_D28_M17","GNCD_108","DefCom2_155","GNCD_120","GNCD_123","GNCD_129","GNCD_111","GNCD_113","GNCD_117","GNCD_121","GNCD_98","GNCD_99","GNCD_106","D28_24","GNCD_101","DC1DC2Bo_D28_M2","GNCD_127","GNCD_103","GNCD_100","DefCom2_142","DefCom2_136","GNCD_105","GNCD_102","DefCom2_154","GNCD_112","DefCom2_130","DefCom2_156","DefCom2_122","DefCom2_132","DC1DC2Bo_D28_M18","DefCom2_139","DefCom2_123","DC1DC2Bo_D28_M3","DefCom2_127","DC1DC2Bo_M28_M13","DefCom2_121","DefCom2_134","DefCom2_144","GNCD_122","DefCom2_126","GNCD_114","DefCom2_162","DefCom2_128","DefCom2_140","GNCD_118","DefCom2_138","DefCom2_135","DefCom2_159","GNCD_128","GNCD_109","DefCom2_137","DC1DC2Bo_D28_M16","DefCom2_133","DefCom2_125","DefCom2_158","DefCom2_143","DC1DC2Bo_D28_M14","DefCom2_153","DC1DC2Bo_D28_M5","DC1DC2Bo_D28_M1","DefCom2_141","DefCom2_157","DC1DC2Bo_D28_M4","DefCom2_124","DC1DC2Bo_D28_M6","DefCom2_131","GNCD_126","D28_06","DefCom2_161","GNCD_124","D28_20","D28_08","D28_09","D28_05","D28_21","D28_15","D28_04","D28_14","D28_12","D28_23","D28_19","D28_02","D28_16","D28_22","D28_07","D28_10","D28_03","GNCD_116","D28_01","D28_17","D28_13","D28_18","D28_11","GNCD_125"
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium|s__Clostridium_innocuum|t__SGB4037_group",1.63163,1.70515,1.64286,1.91376,1.65901,1.55508,1.93981,1.8212,1.85679,1.52106,1.8226,1.51326,1.64741,2.08011,1.54593,1.71023,2.14252,2.45382,4.10044,2.47641,2.24434,1.80579,1.77583,1.95804,2.65507,1.76186,2.03992,2.20989,1.92366,1.46705,2.45612,1.63354,2.49614,1.32565,1.95106,1.76032,2.31172,1.53189,1.3375,1.60388,1.91195,1.92741,1.99832,1.54072,1.71422,2.51382,1.65903,2.01604,2.10687,2.31597,2.60952,1.88304,2.36473,1.93118,2.39062,1.43809,1.37218,1.12317,1.45137,1.67896,1.55163,1.98317,2.00649,2.22812,1.87975,1.61663,1.94812,1.67753,2.31399,2.52912,1.32843,2.75823,1.86009,2.29921,1.27584,2.02445,2.2366,2.18517,1.27957,2.74154,2.66639,2.4256,2.00534,2.06684,2.28411,2.78811,2.24115,2.18224,1.53148,2.23082,2.24138,1.93002,2.30095,2.29356,2.45307,1.5002,1.86378,1.90881
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruthenibacterium|s__Ruthenibacterium_lactatiformans|t__SGB15271",1.24962,1.14046,1.23929,0.96073,1.02483,0.83149,1.07566,1.37455,1.0376,1.36772,1.23465,1.24457,0.9086,2.77106,1.17631,1.91982,1.53488,0.75936,2.65991,0.99571,2.77989,1.5296,1.76466,1.52586,1.59739,1.81792,1.26607,1.39789,1.1718,0.81905,1.41262,1.39502,1.25471,0.89683,1.48902,1.55875,1.60522,1.10583,1.07447,1.33222,2.24738,1.33917,0.99706,1.35238,0.94882,4.26638,1.10338,1.71963,1.31855,1.85031,1.42904,1.37185,1.2955,1.41731,1.43653,0.81287,1.40859,1.21741,1.85054,1.21788,0.60664,1.36023,1.11222,1.46178,1.67517,1.78861,1.25989,1.21237,1.23655,1.47899,2.39223,1.88466,1.95484,1.13491,1.21422,1.72664,2.44004,2.109,0.82817,1.03352,1.39704,1.21281,1.89743,1.45604,1.20747,1.74094,1.00481,1.08674,1.79267,2.20491,1.45025,1.59583,2.2347,1.5966,1.54482,1.30975,2.06954,1.13993
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae|t__SGB1877",1.07277,1.48944,1.03541,1.25925,0.67614,1.33526,0.62663,1.41726,1.70434,1.16783,1.07456,1.08579,1.41528,1.031,1.62865,0.98557,1.75797,0.65583,0.84667,0.61306,1.09012,1.80583,1.33611,0.58026,0.65951,1.5609,1.14971,0.48302,0.87991,0.52742,0.44906,0.52523,0.46376,0.64693,0.67233,0.49122,1.12153,1.07292,0.72121,0.50563,0.65491,0.63512,1.39992,0.91368,1.25909,0.25933,0.76543,0.57832,1.44811,0.46141,0.50279,0.74273,1.43055,1.76463,0.5474,0.79433,0.61562,0.77825,0.79142,0.7404,0.82692,0.56941,1.85229,1.34386,0.55169,0.85908,1.63633,0.7049,1.3857,0.49008,0.19635,1.01017,0.42478,1.37302,0.66311,1.24159,1.22761,1.14644,0.59849,0.67779,1.11572,0.8453,1.38862,0.65595,0.5423,1.08479,0.74485,0.63768,1.27038,1.16692,1.00601,1.48349,1.27658,0.52682,0.71595,0.59064,1.53836,2.01468
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_callanderi|t__SGB4080",1.14175,0.98665,1.32365,1.86026,0.53549,1.30646,0.22054,0.81466,1.1688,0.7384,0.74463,1.32331,1.48228,0.97928,0.94957,0.93735,1.22379,0.49258,4.87403,0.77684,1.0448,1.17898,1.2762,0.48645,0.44037,1.35374,1.08564,0.51399,0.61725,0.34399,0.39318,0.48814,0.58604,0.80815,0.54145,0.7308,0.87766,0.39554,0.62814,0.51698,0.55887,0.49162,1.07232,0.46825,1.32106,0.84927,0.62374,0.6333,0.87786,0.51123,0.44962,0.3654,0.96352,0.91725,0.44116,0.67159,0.52674,0.44794,0.52739,0.37037,0.67126,0.8047,0.98581,0.99844,0.41734,0.371,1.06358,0.63333,0.85197,0.44674,2.81875,1.95825,0.46859,0.97037,0.52893,1.27234,1.06545,1.15919,0.4015,0.42058,1.21554,0.38631,1.18576,0.73906,0.41743,1.04826,0.54895,0.58919,0.93939,1.26186,0.95269,1.04615,1.01283,0.57513,0.42875,0.52416,1.37304,1.17404
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_symbiosum|t__SGB4699",0.84115,0.81944,0.71859,0.78266,1.06651,0.61986,1.03713,0.75841,0.85713,0.86852,0.99624,0.87573,0.85146,1.14369,0.73327,1.06601,1.07362,0.72105,0.47566,0.92291,1.08988,0.81587,0.90672,1.33896,0.61733,0.88745,0.81875,1.12713,0.95945,1.16445,0.81132,1.11319,1.45403,0.62698,1.09458,1.08206,0.91051,1.07678,1.33415,1.16488,0.39916,1.50067,0.78505,1.36889,0.88721,1.15192,1.47165,1.56839,0.9382,1.39932,0.82657,0.54243,0.95718,1.07058,1.15105,1.19508,0.23519,1.2615,0.72921,1.07497,1.17096,1.29647,0.80888,0.92974,1.20305,0.57207,0.93466,1.15092,0.96185,1.56808,0.93202,1.0689,1.35312,0.87821,1.26021,0.96959,0.91862,0.89328,0.65738,0.70891,0.88833,0.60785,1.03156,1.11209,1.15321,0.86117,1.21386,0.59048,0.8396,0.92527,0.88694,0.88804,0.93276,1.47559,0.6112,1.13999,1.01431,0.85992
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis|t__SGB2318",1.10088,0.93213,0.44246,0.78493,0.3576,0.85707,0.79493,0.91286,0.89876,0.76564,0.71649,0.5651,0.53435,1.0233,0.71867,0.80051,0.88197,0,0.66239,0.23465,1.09708,0.92113,0.73412,0.84114,0.77354,0.91865,0.38727,1.005,0.57556,0.88802,0.97687,1.00743,0.75059,0.60377,0.86944,0.98013,0.53801,0.95525,0.63323,0.86402,0.81968,0.75192,0.50505,0.84358,0.51878,1.22548,1.07589,0.73531,0.69487,0.72945,0.64149,0.81689,0.68807,0.64075,1.00981,0.67549,1.15997,0.94211,0.90047,0.86369,0.82778,0.68162,0.35364,0.4427,0.59943,0.99119,0.39315,0.79094,0.25116,0.78692,0.114,0.85452,1.24845,0.59876,0.96577,0.9686,0.85715,0.66822,0.76277,1.01998,0.58026,1.22872,0.69686,0,0.64467,0.74994,0.7143,0,0.85832,0.69671,0.9347,0.80271,0.78352,0.84511,1.01752,0.51981,0.79961,0.45612
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Flavonifractor|s__Flavonifractor_plautii|t__SGB15132",0.65564,0.56414,0.99673,0.69871,0.05952,0.58517,0.08347,0.52404,0.5931,0.73309,0.56949,0.74564,0.54823,1.39855,0.61599,1.18531,0.66951,0.10806,0,0.43743,1.67446,0.74911,0.97748,0.12722,0.08378,0.71917,0.70362,0.2038,0.72407,0.10518,0.21093,0.12523,0.15995,0.16294,0.13488,0.14491,0.49329,0.1739,0.15297,0.19861,0.22764,0.21775,0.80093,0.18152,0.54367,0.27925,0.18239,0.1772,0.67397,0.1802,0.14025,0.09277,0.67377,0.78674,0.07019,0.13612,0.09654,0.10136,0.20288,0.06842,0.17389,0.23763,0.39077,0.53386,0.18462,0.11046,0.53577,0.07637,0.42553,0.17405,0.15079,0.55336,0.22077,0.50341,0.19907,0.65053,0.75403,0.66282,0.11405,0.15199,0.53759,0.15156,0.69241,0.26237,0.14264,0.63965,0.18473,0.21412,0.62317,0.65372,0.48341,0.80684,0.75586,0.21582,0.21413,0.14491,0.70302,0.7879
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_gauvreauii|t__SGB29375",0.20112,0.31737,0.27031,0.11947,0.33455,0.30986,0.25316,0.37121,0.293,0.2952,0.13399,0.16928,0.12663,0.17236,0.17783,0.28773,0.36029,0.30124,1.01,0.35588,0.26876,0.34518,0.2422,0.3041,0.38511,0.26863,0.33542,0.33748,0.21218,0.27438,0.30619,0,0.30951,0.35535,0.26009,0,0.39178,0.31367,0.44023,0,0.32674,0.27923,0.32406,0.25481,0.13025,0.06195,0.27265,0.32985,0.32988,0.24192,0.36632,0.26656,0.30565,0.31962,0.32002,0.32696,0.39148,0.27914,0.32279,0.38271,0.4066,0.25266,0.40046,0.38571,0.31981,0.29677,0.41129,0,0.3425,0.33379,1.20762,0.33769,0.00853,0.31864,0.23425,0.3148,0.36411,0.311,0.23179,0.21176,0.33579,0.15537,0.18852,0.33036,0.16873,0.34594,0.17905,0.30723,0.36601,0.2245,0.38067,0.25102,0.37893,0.1717,0.2194,0.15445,0.22778,0.34547
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster_lavalensis|t__SGB4725",0.06451,0.18547,0.11765,0.19331,0.04078,0.08849,0.1351,0.21881,0.14259,0.18298,0.27731,0.22193,0.22035,0.45028,0.15436,0.26929,0.16865,0.13771,0.06544,0.2724,0.43275,0.22894,0.51627,0.11881,0.04682,0.34173,0.3254,0.07976,0.73801,0.06008,0.12779,0.0801,0.08432,0.20371,0.12789,0.05032,0.28563,0.05587,0.11359,0.02818,0.13197,0.09834,0.25695,0.18014,0.3911,0.0081,0.20635,0.18468,0.24661,0.15501,0.10078,0.10198,0.37174,0.61763,0.15067,0.10365,0.09648,0.03155,0.15525,0.06089,0.15833,0.20237,0.34799,0.30577,0.06329,0.07172,0.233,0.12962,0.24965,0.09009,0.31527,0.37485,0.09442,0.20788,0.22535,0.36681,0.44344,0.42211,0.19691,0.1838,0.37341,0.15835,0.33016,0.30106,0.29612,0.34687,0.25539,0.24042,0.3162,0.36893,0.30253,0.29664,0.36822,0.30882,0.22635,0.15233,0.42713,0.29263
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthella|s__Eggerthella_lenta|t__SGB14809",0.16203,0.10974,0.1292,0.19254,0.14835,0.14116,0.15242,0.2339,0.13914,0.16542,0.11667,0.14162,0.10438,0.24909,0.13546,0.21988,0.22006,0.17831,0.69908,0.18012,0.52385,0.27031,0.17367,0.18625,0.22955,0.21872,0.15979,0.22772,0.12404,0.17194,0.23966,0.25249,0.20162,0.16784,0.21164,0.29971,0.26308,0.25305,0.28301,0.16227,0.24352,0.20819,0.1269,0.21219,0.11475,1.04937,0.15878,0.20539,0.1642,0.18974,0.18526,0.12858,0.19039,0.146,0.20726,0.19749,0.19723,0.15323,0.26143,0.19733,0.24655,0.23081,0.19652,0.24755,0.25619,0.22434,0.19344,0.21782,0.18766,0.19024,0.79946,0.35958,0.40057,0.20296,0.29443,0.31144,0.32956,0.28535,0.21448,0.24916,0.20989,0.27595,0.26911,0.2721,0.22499,0.27442,0.1892,0.21172,0.28233,0.31122,0.21448,0.28297,0.32086,0.26327,0.27927,0.24799,0.28462,0.18395
