"","GNCD_110","GNCD_119","GNCD_107","GNCD_115","DC1DC2Bo_D28_M17","GNCD_108","DefCom2_155","GNCD_120","GNCD_123","GNCD_129","GNCD_111","GNCD_113","GNCD_117","GNCD_121","GNCD_98","GNCD_99","GNCD_106","D28_24","GNCD_101","DC1DC2Bo_D28_M2","GNCD_127","GNCD_103","GNCD_100","DefCom2_142","DefCom2_136","GNCD_105","GNCD_102","DefCom2_154","GNCD_112","DefCom2_130","DefCom2_156","DefCom2_122","DefCom2_132","DC1DC2Bo_D28_M18","DefCom2_139","DefCom2_123","DC1DC2Bo_D28_M3","DefCom2_127","DC1DC2Bo_M28_M13","DefCom2_121","DefCom2_134","DefCom2_144","GNCD_122","DefCom2_126","GNCD_114","DefCom2_162","DefCom2_128","DefCom2_140","GNCD_118","DefCom2_138","DefCom2_135","DefCom2_159","GNCD_128","GNCD_109","DefCom2_137","DC1DC2Bo_D28_M16","DefCom2_133","DefCom2_125","DefCom2_158","DefCom2_143","DC1DC2Bo_D28_M14","DefCom2_153","DC1DC2Bo_D28_M5","DC1DC2Bo_D28_M1","DefCom2_141","DefCom2_157","DC1DC2Bo_D28_M4","DefCom2_124","DC1DC2Bo_D28_M6","DefCom2_131","GNCD_126","D28_06","DefCom2_161","GNCD_124","D28_20","D28_08","D28_09","D28_05","D28_21","D28_15","D28_04","D28_14","D28_12","D28_23","D28_19","D28_02","D28_16","D28_22","D28_07","D28_10","D28_03","GNCD_116","D28_01","D28_17","D28_13","D28_18","D28_11","GNCD_125"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli|t__SGB10068",0.45856,0.43516,0.22543,0.44373,0.07608,0.59388,0.069,0.44421,0.19565,0.30631,0.14766,0.33886,0.3865,0.53292,1.09677,1.42468,0.22607,0.11629,0.45919,0.11555,0.27888,0.34121,1.30013,0,0.05911,0.75676,0.26339,0,0.15006,0.0423,0,0.08188,0.10476,0.27006,0.03,0.059,0.33132,0,0.15095,0.04438,0.08617,0.00664,0.5046,0.02501,0.26807,0.00607,0.05721,0.02254,0.25739,0.04401,0.02306,0.10003,0.3154,0.45832,0.00802,0.15033,0.02589,0,0.02695,0,0.10078,0.07724,0.22179,0.35054,0.02039,0.06866,0.43656,0.05167,0.32088,0.07596,0.85657,0.50808,0.02562,0.53723,0.0766,0.33039,0.30564,0.37947,0.09751,0,0.36368,0.00494,0.31239,0.13885,0.04301,0.35561,0.0698,0.13783,0.28917,0.44238,0.2825,0.54259,0.2964,0.08124,0.05005,0.03373,0.4079,0.42979
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis|t__SGB1855_group",0.92088,1.53152,0.60199,0.09794,0.02772,0.1322,0,1.23195,0.97674,0.876,0.60456,0.63969,0.03503,0.7203,0.80032,0.12551,0.93481,0,0.32967,0.51493,0.05751,0.29373,0.56266,0,0,0.90766,1.3178,0,0.8023,0,0,0.01994,0,0,0,0.00356,1.26184,0,0.17458,0.03284,0,0,0.46804,0,0.08041,0,0,0,1.21222,0,0,0,0.11532,0.44717,0,0.06484,0,0.00178,0,0,0,0,0.18869,0.31628,0,0,0.10683,0.09491,0.6739,0.01379,0.12312,0.0405,0.03363,0.28479,0.0785,0.28987,0.01065,0.05942,0.09681,0.00395,0.01176,0.04695,0.1979,0.04016,0.04476,0.73855,0.04728,0.00716,0.04257,0.1163,0.48758,0.30821,0.27886,0.0227,0.1406,0.01904,0.07084,0.72735
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens|t__SGB14546_group",0.15095,0.17723,0.05959,0.20201,0,0.1281,0,0.1681,0.10889,0.14858,0.07018,0.14532,0.09999,0.23891,0.11193,0.1997,0.1791,0,0.24915,0.07971,0.30397,0.15375,0.15392,0,0,0.14964,0.17289,0,0.04798,0,0,0,0,0,0,0,0.13784,0,0,0,0,0,0.10803,0,0.11852,0,0,0,0.13929,0,0,0,0.17214,0.12165,0,0,0,0,0,0,0,0,0.08455,0.11293,0,0,0.09528,0,0.08244,0,0.90272,0.33537,0,0.17844,0,0.36883,0.30195,0.25123,0,0,0.20644,0,0.2186,0,0,0.20514,0,0,0.29275,0.24468,0.20489,0.24079,0.23678,0,0,0,0.25381,0.15793
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Anaerofustis|s__Anaerofustis_stercorihominis|t__SGB4116",0.22086,0.17549,0.28689,0.21974,0.16993,0.19105,0.08494,0.301,0.10346,0.26113,0.29888,0.26602,0.24911,0.10982,0.16557,0.14114,0.19936,0.18659,0.82507,0.39308,0.12125,0.19737,0.09557,0.12211,0.12646,0.1423,0.32243,0.15689,0.21505,0.09304,0.11076,0.19259,0.12074,0.17513,0.11946,0.14815,0.2998,0.10558,0.15856,0.12007,0.09625,0.09935,0.29751,0.10607,0.23802,0.11858,0.09788,0.12216,0.28412,0.19841,0.16383,0.12144,0.29681,0.17461,0.13297,0.14595,0.11896,0.09336,0.11891,0.13039,0.15144,0.15352,0.29131,0.27287,0.12891,0.11389,0.34734,0.14699,0.30472,0.18091,0.58424,0.21891,0.19569,0.31311,0.17492,0.31127,0.28688,0.23598,0.1661,0.20679,0.25035,0.23314,0.26581,0.18238,0.18986,0.29271,0.18853,0.16857,0.2622,0.24749,0.23425,0.28028,0.23072,0.18469,0.17264,0.17267,0.30819,0.28909
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum|t__SGB17248",0.02243,0.00929,0,0.02676,0,0.02189,0,0.04739,0.01337,0.02611,0,0.00633,0.00705,0.0374,0.04622,0.10442,0.05941,0.02764,0.23711,0.01467,0.08049,0.01193,0.04459,0.02046,0.0248,0.06338,0.02266,0.02091,0.02162,0,0.01021,0.01014,0,0.01696,0.01323,0.04203,0.05345,0.00561,0.01444,0.01594,0.02839,0.00635,0.04162,0.01878,0.02921,0.14331,0,0.01262,0.02118,0.00963,0,0.02572,0.04489,0.0395,0.02465,0.04053,0.0447,0.01296,0.03052,0.02853,0.0198,0.0214,0.06087,0.04653,0.01031,0.02967,0.07302,0.01376,0.05598,0.00611,0.425,0.15893,0.06701,0.07883,0.02662,0.10118,0.08551,0.08946,0.04144,0.03318,0.12203,0.03321,0.08184,0.03907,0.0288,0.07409,0.02008,0.037,0.10813,0.19484,0.03906,0.09437,0.09983,0.05627,0.03811,0.04531,0.13068,0.0706
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens|t__SGB1867",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00696,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01658,0.02502,0,0,0,0,0,0.06909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02149,0,0.03829,0.01168,0,0,0.01064,0.06039,0.01929,0,0.03611,0.00968,0,0,0.04099,0,0,0,0.01783,0.011,0.00948,0.00886,0,0.00864,0,0,0.00828,0,0.00403,0.00793,0,0,0,0,0.00458,0.01815,0.0274,0.01285,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae",0.01825,0.25926,0,0,2.13188,0.00522,1.50375,0.16625,0.1709,0,0,0,0.15959,0,0,0,0,1.82451,0,0,0,0,0,0.34836,0.61351,0,0,0.93538,0,1.32588,0.71744,1.45261,1.5391,1.98186,0.54887,1.19294,0,1.63549,1.87381,1.73496,0.31045,1.43296,0,1.32624,0.01596,0.77057,1.44978,1.10444,0.09808,0.86404,0.63204,0.1215,0.0224,0,0.96799,2.70173,0.39344,1.08876,0.60827,0.77376,0.42356,2.09329,0,0,0.43573,0.23277,0,1.2661,0,1.73735,0,0.00682,0.74366,0.09191,1.7389,0.0196,0.01693,0.00267,1.8015,1.46619,0.01298,1.6536,0.00687,2.62969,1.43024,0.03951,1.73486,1.51647,0.00092,0,0,0.00732,0,1.20484,1.22109,1.66142,0,0.00768
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium",0.01825,0.25926,0,0,0,0.00522,0,0.16625,0.1709,0,0,0,0.15959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01596,0,0,0,0.09808,0,0,0,0.0224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00682,0,0.09191,0,0.0196,0.01693,0.00267,0,0,0.01298,0,0.00687,0,0,0.03951,0,0,0.00092,0,0,0.00732,0,0,0,0,0,0.00768
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_butyricum",0.01825,0.25926,0,0,0,0.00522,0,0.16625,0.1709,0,0,0,0.15959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01596,0,0,0,0.09808,0,0,0,0.0224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00682,0,0.09191,0,0.0196,0.01693,0.00267,0,0,0.01298,0,0.00687,0,0,0.03951,0,0,0.00092,0,0,0.00732,0,0,0,0,0,0.00562
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_butyricum|t__SGB6170",0.01825,0.25926,0,0,0,0.00522,0,0.16625,0.1709,0,0,0,0.15959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01596,0,0,0,0.09808,0,0,0,0.0224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00682,0,0.09191,0,0.0196,0.01693,0.00267,0,0,0.01298,0,0.00687,0,0,0.03951,0,0,0.00092,0,0,0.00732,0,0,0,0,0,0.00562
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria",0,0,0,0,0.55104,0,0.90649,0,0,0,0,0,0,0,0,0,0,0.52823,0,0,0,0,0,0.33567,0.48747,0,0,0.40096,0,0.72794,0.67851,0.6427,0.63339,0.58253,0.78345,0.40378,0,0.37007,0.91548,0.84689,0.62358,0.49413,0,0.72394,0,0.04136,0.87279,0.60493,0,0.44069,0.65186,0.81856,0,0,0.7384,0.73628,0.5549,0.78081,0.65073,0.43791,1.0459,0.75337,0,0,0.54855,0.84126,0,0.71389,0,0.64573,0,0,0.38857,0,0.69931,0,0,0,0.74016,0.66339,0,0.69508,0,0.75595,0.71612,0,0.72089,0.6545,0,0,0,0,0,0.80406,0.73503,0.48504,0,0
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria",0,0,0,0,0,0,0.0062,0,0,0,0,0,0,0,0,0,0,0.04877,0,0,0,0,0,0.03999,0.03289,0,0,0.02648,0,0.03827,0.04832,0.02451,0.04615,0.06106,0.0353,0.01715,0,0.04361,0.06281,0.03737,0.08173,0.04384,0,0.06912,0,0.02935,0.05342,0.05554,0,0.04963,0.0394,0.0436,0,0,0.06076,0.05983,0.05365,0.05615,0.05229,0.04684,0.07749,0.07137,0,0,0.05869,0.07431,0,0.06854,0,0.05695,0,0,0.06477,0,0.04414,0,0,0,0.03739,0.04692,0,0.05905,0,0.08338,0.05493,0,0.04678,0.07964,0,0,0,0,0,0.05245,0.10887,0.06675,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli",0,0,0,0,0.06074,0,0,0,0,0,0,0,0,0,1.395,0.45601,0,0.33719,0.01219,0,0,0,0.15501,0.17476,0.13473,0.18305,0,0.01961,0,0.01478,0.01629,0.03796,0.01601,0.44062,0.03496,0.04858,0,0.0538,0.04277,0.03598,0.37606,0.29001,0,0.21951,0,0.04798,0.04186,0.01722,0,0.01307,0.11197,0.83566,0,0,0.03101,0.22257,0.54929,0.0658,0.33713,0.24488,0.06314,0.00898,0,0,0.11516,0.53172,0,0.0298,0,0.01965,0,0,0.06545,0,0.04207,0,0,0,0.04169,0.04576,0,0.03514,0,0.76433,0.00499,0,0.01003,0.45214,0,0,0,0,0,0.02531,0.04695,0.02248,0,0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales",0,0,0,0,0.55104,0,0.90649,0,0,0,0,0,0,0,0,0,0,0.52823,0,0,0,0,0,0.33567,0.48747,0,0,0.40096,0,0.72794,0.67851,0.6427,0.63339,0.58253,0.78345,0.40378,0,0.37007,0.91548,0.84689,0.62358,0.49413,0,0.72394,0,0.04136,0.87279,0.60493,0,0.44069,0.65186,0.81856,0,0,0.7384,0.73628,0.5549,0.78081,0.65073,0.43791,1.0459,0.75337,0,0,0.54855,0.84126,0,0.71389,0,0.64573,0,0,0.38857,0,0.69931,0,0,0,0.74016,0.66339,0,0.69508,0,0.75595,0.71612,0,0.72089,0.6545,0,0,0,0,0,0.80406,0.73503,0.48504,0,0
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales",0,0,0,0,0,0,0.0062,0,0,0,0,0,0,0,0,0,0,0.04877,0,0,0,0,0,0.03999,0.03289,0,0,0.02648,0,0.03827,0.04832,0.02451,0.04615,0.06106,0.0353,0.01715,0,0.04361,0.06281,0.03737,0.08173,0.04384,0,0.06912,0,0.02935,0.05342,0.05554,0,0.04963,0.0394,0.0436,0,0,0.06076,0.05983,0.05365,0.05615,0.05229,0.04684,0.07749,0.07137,0,0,0.05869,0.07431,0,0.06854,0,0.05695,0,0,0.06477,0,0.04414,0,0,0,0.03739,0.04692,0,0.05905,0,0.08338,0.05493,0,0.04678,0.07964,0,0,0,0,0,0.05245,0.10887,0.06675,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales",0,0,0,0,0.06074,0,0,0,0,0,0,0,0,0,0,0,0,0.33719,0,0,0,0,0,0.17476,0.13473,0,0,0.01961,0,0.01478,0.01629,0.03796,0.01601,0.44062,0.03496,0.04858,0,0.0538,0.04277,0.03598,0.37606,0.29001,0,0.21951,0,0.04798,0.04186,0.01722,0,0.01307,0.11197,0.83566,0,0,0.03101,0.22257,0.54929,0.0658,0.33713,0.24488,0.06314,0.00898,0,0,0.11516,0.53172,0,0.0298,0,0.01965,0,0,0.06545,0,0.04207,0,0,0,0.04169,0.04576,0,0.03514,0,0.76433,0.00499,0,0.01003,0.45214,0,0,0,0,0,0.02531,0.04695,0.02248,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae",0,0,0,0,2.10751,0,3.85052,0,0,0,0,0,0,0,0,0,0,3.78723,0,0,0,0,0,1.90649,3.73173,0,0,3.70012,0,2.86833,3.6424,2.97243,3.50254,1.91542,3.16478,2.84549,0,3.33811,1.88719,3.1446,2.7438,2.92883,0,3.99818,0,2.25028,4.52422,3.56585,0,3.88971,3.71452,2.53732,0,0,2.9494,2.43297,1.88352,4.09973,2.84985,2.43772,2.4674,4.00787,0,0,3.56563,2.62627,0,3.11861,0,3.26875,0,0,2.91597,0,3.51059,0,0,0,3.08906,3.42525,0,3.97647,0,3.72874,4.44861,0,3.72664,3.30705,0,0,0,0,0,2.86072,3.3641,2.38392,0,0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae",0,0,0,0,0.55104,0,0.90649,0,0,0,0,0,0,0,0,0,0,0.52823,0,0,0,0,0,0.33567,0.48747,0,0,0.40096,0,0.72794,0.67851,0.6427,0.63339,0.58253,0.78345,0.40378,0,0.37007,0.91548,0.84689,0.62358,0.49413,0,0.72394,0,0.04136,0.87279,0.60493,0,0.44069,0.65186,0.81856,0,0,0.7384,0.73628,0.5549,0.78081,0.65073,0.43791,1.0459,0.75337,0,0,0.54855,0.84126,0,0.71389,0,0.64573,0,0,0.38857,0,0.69931,0,0,0,0.74016,0.66339,0,0.69508,0,0.75595,0.71612,0,0.72089,0.6545,0,0,0,0,0,0.80406,0.73503,0.48504,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae",0,0,0,0,0.24183,0,0.58481,0,0,0,0,0,0,0,0,0,0,0.44075,0,0,0,0,0,0.63904,0.32629,0,0,0.6648,0,0.68942,0.55278,0.59557,0.40432,0.31608,0.5843,0.59869,0,0.86445,0.42246,0.65328,0.41093,0.42612,0,0.56184,0,0.55972,0.57523,0.43184,0,0.453,0.28959,0.91361,0,0,0.67084,0.39653,0.57474,0.60815,0.68331,0.61417,0.54477,0.41017,0,0,0.44735,0.64722,0,0.47567,0,0.3857,0,0,0.63988,0,0.60991,0,0,0,0.58066,0.8051,0,0.59769,0,0.55039,0.51736,0,0.46451,0.4339,0,0,0,0,0,0.48701,0.63711,0.53518,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis",0,0,0,0,0.44353,0,0.59907,0,0,0,0,0,0,0,0,0,0,0.35384,0,0,0,0,0,0.3854,0.26354,0,0,0.49923,0,0.33013,0.24912,0.62826,0.59015,0.45285,0.5481,0.67832,0,0.37734,0.51042,0.51927,0.45144,0.32748,0,0.49155,0,0.42063,0.36144,0.58069,0,0.57337,0.24638,0.4987,0,0,0.60166,0.35336,0.45874,0.38618,0.44854,0.4046,0.69074,0.55973,0,0,0.49677,0.3525,0,0.64431,0,0.66038,0,0,0.66964,0,0.37974,0,0,0,0.3214,0.55349,0,0.52173,0,0.29083,0.24862,0,0.29239,0.36714,0,0,0,0,0,0.32762,0.52318,0.418,0,0
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae",0,0,0,0,0,0,0.0062,0,0,0,0,0,0,0,0,0,0,0.04877,0,0,0,0,0,0.03999,0.03289,0,0,0.02648,0,0.03827,0.04832,0.02451,0.04615,0.06106,0.0353,0.01715,0,0.04361,0.06281,0.03737,0.08173,0.04384,0,0.06912,0,0.02935,0.05342,0.05554,0,0.04963,0.0394,0.0436,0,0,0.06076,0.05983,0.05365,0.05615,0.05229,0.04684,0.07749,0.07137,0,0,0.05869,0.07431,0,0.06854,0,0.05695,0,0,0.06477,0,0.04414,0,0,0,0.03739,0.04692,0,0.05905,0,0.08338,0.05493,0,0.04678,0.07964,0,0,0,0,0,0.05245,0.10887,0.06675,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae",0,0,0,0,0.06074,0,0,0,0,0,0,0,0,0,0,0,0,0.33719,0,0,0,0,0,0.17476,0.13473,0,0,0.01961,0,0.01478,0.01629,0.03796,0.01601,0.44062,0.03496,0.04858,0,0.0538,0.04277,0.03598,0.37606,0.29001,0,0.21951,0,0.04798,0.04186,0.01722,0,0.01307,0.11197,0.83566,0,0,0.03101,0.22257,0.54929,0.0658,0.33713,0.24488,0.06314,0.00898,0,0,0.11516,0.53172,0,0.0298,0,0.01965,0,0,0.06259,0,0.04207,0,0,0,0.04169,0.04576,0,0.03514,0,0.76433,0.00499,0,0.01003,0.45214,0,0,0,0,0,0.02531,0.04695,0.02248,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides",0,0,0,0,2.10751,0,3.85052,0,0,0,0,0,0,0,0,0,0,3.78723,0,0,0,0,0,1.90649,3.73173,0,0,3.70012,0,2.86833,3.6424,2.97243,3.50254,1.91542,3.16478,2.84549,0,3.33811,1.88719,3.1446,2.7438,2.92883,0,3.99818,0,2.25028,4.52422,3.56585,0,3.88971,3.71452,2.53732,0,0,2.9494,2.43297,1.88352,4.09973,2.84985,2.43772,2.4674,4.00787,0,0,3.56563,2.62627,0,3.11861,0,3.26875,0,0,2.91597,0,3.51059,0,0,0,3.08906,3.42525,0,3.97647,0,3.72874,4.44861,0,3.72664,3.30705,0,0,0,0,0,2.86072,3.3641,2.38392,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Hungatella",0,0,0,0,2.13188,0,1.50375,0,0,0,0,0,0,0,0,0,0,1.82451,0,0,0,0,0,0.34836,0.61351,0,0,0.93538,0,1.32588,0.71744,1.45261,1.5391,1.98186,0.54887,1.19294,0,1.63549,1.87381,1.73496,0.31045,1.43296,0,1.32624,0,0.77057,1.44978,1.10444,0,0.86404,0.63204,0.1215,0,0,0.96799,2.70173,0.39344,1.08876,0.60827,0.77376,0.42356,2.09329,0,0,0.43573,0.23277,0,1.2661,0,1.73735,0,0,0.74366,0,1.7389,0,0,0,1.8015,1.46619,0,1.6536,0,2.62969,1.43024,0,1.73486,1.51647,0,0,0,0,0,1.20484,1.22109,1.66142,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Sellimonas",0,0,0,0,1.37651,0,1.27932,0,0,0,0,0,0,0,0,0,0,1.3522,0,0,0,0,0,1.3767,1.47166,0,0,1.52694,0,1.37114,1.47543,1.76106,1.91267,1.28205,1.45454,1.74753,0,1.23943,1.72756,1.77992,1.42131,1.38548,0,1.38514,0,2.56398,1.69203,1.64994,0,1.83876,1.55364,1.13488,0,0,1.73222,1.40377,1.86435,1.20664,1.13133,1.54675,1.70038,1.86671,0,0,1.196,0.90794,0,1.39654,0,1.7763,0,0,1.90626,0,1.34257,0,0,0,1.5487,1.39282,0,1.18109,0,1.22783,1.44721,0,1.10882,1.2127,0,0,0,0,0,1.41632,1.21816,1.29883,0,0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella",0,0,0,0,0.55104,0,0.90649,0,0,0,0,0,0,0,0,0,0,0.52823,0,0,0,0,0,0.33567,0.48747,0,0,0.40096,0,0.72794,0.67851,0.6427,0.63339,0.58253,0.78345,0.40378,0,0.37007,0.91548,0.84689,0.62358,0.49413,0,0.72394,0,0.04136,0.87279,0.60493,0,0.44069,0.65186,0.81856,0,0,0.7384,0.73628,0.5549,0.78081,0.65073,0.43791,1.0459,0.75337,0,0,0.54855,0.84126,0,0.71389,0,0.64573,0,0,0.38857,0,0.69931,0,0,0,0.74016,0.66339,0,0.69508,0,0.75595,0.71612,0,0.72089,0.6545,0,0,0,0,0,0.80406,0.73503,0.48504,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella",0,0,0,0,0.24183,0,0.58481,0,0,0,0,0,0,0,0,0,0,0.44075,0,0,0,0,0,0.63904,0.32629,0,0,0.6648,0,0.68942,0.55278,0.59557,0.40432,0.31608,0.5843,0.59869,0,0.86445,0.42246,0.65328,0.41093,0.42612,0,0.56184,0,0.55972,0.57523,0.43184,0,0.453,0.28959,0.91361,0,0,0.67084,0.39653,0.57474,0.60815,0.68331,0.61417,0.54477,0.41017,0,0,0.44735,0.64722,0,0.47567,0,0.3857,0,0,0.63988,0,0.60991,0,0,0,0.58066,0.8051,0,0.59769,0,0.55039,0.51736,0,0.46451,0.4339,0,0,0,0,0,0.48701,0.63711,0.53518,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Emergencia",0,0,0,0,0.44353,0,0.59907,0,0,0,0,0,0,0,0,0,0,0.35384,0,0,0,0,0,0.3854,0.26354,0,0,0.49923,0,0.33013,0.24912,0.62826,0.59015,0.45285,0.5481,0.67832,0,0.37734,0.51042,0.51927,0.45144,0.32748,0,0.49155,0,0.42063,0.36144,0.58069,0,0.57337,0.24638,0.4987,0,0,0.60166,0.35336,0.45874,0.38618,0.44854,0.4046,0.69074,0.55973,0,0,0.49677,0.3525,0,0.64431,0,0.66038,0,0,0.66964,0,0.37974,0,0,0,0.3214,0.55349,0,0.52173,0,0.29083,0.24862,0,0.29239,0.36714,0,0,0,0,0,0.32762,0.52318,0.418,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Mediterraneibacter",0,0,0,0,1.17883,0,0,0,0,0,0,0,0,0,0,0,0,0.50049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77339,0,0,0,0,0.80589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05979,0,0,0,0,0.70071,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70802,0,0,0,0.76216,0.46811,0,0.19237,0,0.66307,0.60865,0,0.5455,0.48701,0,0,0,0,0,0.876,0.17313,1.00969,0,0
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio",0,0,0,0,0,0,0.0062,0,0,0,0,0,0,0,0,0,0,0.04877,0,0,0,0,0,0.03999,0.03289,0,0,0.02648,0,0.03827,0.04832,0.02451,0.04615,0.06106,0.0353,0.01715,0,0.04361,0.06281,0.03737,0.08173,0.04384,0,0.06912,0,0.02935,0.05342,0.05554,0,0.04963,0.0394,0.0436,0,0,0.06076,0.05983,0.05365,0.05615,0.05229,0.04684,0.07749,0.07137,0,0,0.05869,0.07431,0,0.06854,0,0.05695,0,0,0.06477,0,0.04414,0,0,0,0.03739,0.04692,0,0.05905,0,0.08338,0.05493,0,0.04678,0.07964,0,0,0,0,0,0.05245,0.10887,0.06675,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus",0,0,0,0,0.06074,0,0,0,0,0,0,0,0,0,0,0,0,0.33719,0,0,0,0,0,0.17476,0.13473,0,0,0.01961,0,0.01478,0.01629,0.03796,0.01601,0.44062,0.03496,0.04858,0,0.0538,0.04277,0.03598,0.37606,0.29001,0,0.21951,0,0.04798,0.04186,0.01722,0,0.01307,0.11197,0.83566,0,0,0.03101,0.22257,0.54929,0.0658,0.33713,0.24488,0.06314,0.00898,0,0,0.11516,0.53172,0,0.0298,0,0.01965,0,0,0.06259,0,0.04207,0,0,0,0.04169,0.04576,0,0.03514,0,0.76433,0.00499,0,0.01003,0.45214,0,0,0,0,0,0.02531,0.04695,0.02248,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus",0,0,0,0,0.25158,0,0.02312,0,0,0,0,0,0,0,0,0,0,0.20854,0,0,0,0,0,0.01212,0.02909,0,0,0.0353,0,0.02093,0.04588,0,0.06333,0.30216,0.03657,0.00132,0,0.02695,0.26964,0.0318,0.08357,0.05721,0,0.09737,0,0.0907,0.02907,0.04562,0,0.06188,0.05169,0.01544,0,0,0.02804,0.25514,0.0093,0.04786,0.07186,0.00793,0.25776,0.07849,0,0,0.04134,0.02866,0,0.00629,0,0.04998,0,0,0.05064,0,0.27921,0,0,0,0.18431,0.08586,0,0.09543,0,0.39669,0.31097,0,0.23478,0.30001,0,0,0,0,0,0.35913,0.03681,0.15175,0,0
