clade_name,14222000860,14222002214,14224007057,14230002867,14231003578,14243004165,14261008867,14265011111,14266010630,14267004596,14270006297,14275002567,14277001579,14277004053,14280000918,14280007449,14281004042,14281010506,14282006614,14294002223,14294008232,14295003788,14297006897,14297007222,14302008148,14305002017,14306003432,14311005496,14324005059,14324007652,14324011089,14325007894,14333003042,14336009506,14347003386,14364002390,15003000243,15004000359,15007005681,15013006888,15022002052,15022009124,15033005121,15042007560,15047003896,15053004744,15074001085,15075007377,15145002518,15150002251,15172000581,15183009449,15183011312,15202001672,15215011523,15249004285,15272010763,15283000569,15289004143,15292011308,15293011814,15303009944,15314012103,15315001587,15316011366,15318004439,15327002274,15334011102,15338008398,15338009826,15344004809,15344011012,15347000571,15351007633,15357009163,15361005421,15361005627,16025011001,16033004325,16035004712,16037008119,16066007541,16067010441,16074002883,16078009373,16078009942,16083004463,16090010825,16093001566,16112004607,16131011416,16137013172,16144010073,16154004217,16164004776,16182011162,16190004049,16222006583,16226000979,16227004893,16234005390,16245010913,01-S01,02-S01,03-S01,04-S01,05-S01,06-S01,07-S01,08-S01,09-S01,10-S01,11-S01,12-S01,13-S01,14-S01,15-S01,16-S01,17-S01,18-S01,19-S01,20-S01,CNTM_S1,CNTM_S10,CNTM_S11,CNTM_S12,CNTM_S13,CNTM_S14,CNTM_S15,CNTM_S16,CNTM_S17,CNTM_S18,CNTM_S19,CNTM_S2,CNTM_S20,CNTM_S21,CNTM_S22,CNTM_S23,CNTM_S24,CNTM_S25,CNTM_S26,CNTM_S27,CNTM_S28,CNTM_S29,CNTM_S3,CNTM_S30,CNTM_S31,CNTM_S32,CNTM_S33,CNTM_S34,CNTM_S35,CNTM_S36,CNTM_S37,CNTM_S38,CNTM_S39,CNTM_S4,CNTM_S40,CNTM_S41,CNTM_S42,CNTM_S43,CNTM_S44,CNTM_S45,CNTM_S46,CNTM_S47,CNTM_S48,CNTM_S49,CNTM_S5,CNTM_S50,CNTM_S51,CNTM_S52,CNTM_S53,CNTM_S54,CNTM_S55,CNTM_S56,CNTM_S57,CNTM_S58,CNTM_S59,CNTM_S6,CNTM_S60,CNTM_S61,CNTM_S62,CNTM_S63,CNTM_S64,CNTM_S65,CNTM_S66,CNTM_S67,CNTM_S68,CNTM_S69,CNTM_S7,CNTM_S70,CNTM_S71,CNTM_S72,CNTM_S73,CNTM_S74,CNTM_S75,CNTM_S76,CNTM_S77,CNTM_S78,CNTM_S79,CNTM_S8,CNTM_S80,CNTM_S81,CNTM_S82,CNTM_S83,CNTM_S84,CNTM_S85,CNTM_S86,CNTM_S9
k__Bacteria|p__Firmicutes|c__CFGB3035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02594,0,0.19096,0,0,0,0,0,2.89135,0,0,0,0,0,0,0.04431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176,0,0.26629,0,0,0,0,0,0.00607,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10472,0,0,0,0,0,0,0,0,0,0.0067,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00956,0,0.11164,0,0,0,0,0,0,0,0,0.00094,0.05843,0,0,0,0,0,0,0,0,0,0.00617,0,0,0,0.15271,0,0,0,0,0,0,0.13599,0,0,0,0,0,0,0,0.10484,0,0,0,0,0,0,0,0,0,0,0.11735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01692,0,0,0,0.20553,0,0,0,0,0,0,0
k__Archaea|p__Euryarchaeota|c__Methanobacteria,0.23906,0,0,0,0,0,0,0,0,0,0,0,2.55844,0,0,0,0,0,0,0,0,0,0,0,1.4188,0,0,0,0,0,0,0,0,0,0,0.15253,0,0,0,0,0,0,0,0,0,0.01605,0,0.00108,0,0,0,0,0,0.52028,0,0.22436,0,0,0,0,0.09919,0,0,0,0,0,0,0,0.12464,0,0,0,0,0,0.00906,0,0,0,0,0,0,0,0,0.07797,0,0.23778,0,0,0,0,0,0.03778,0,0,0,0,0,0,0.17374,0,0,0,0,0,0,0.05348,0.60634,0,0,0,0.02991,0,0,0,0.16481,0.03992,0,0,0,0.2195,0,0.4782,0.055,0,0,0,0,0,0,9.88677,0.33559,6.54336,0,0.57383,0,0,0.02778,0,0,0,0.66438,0,0,0,0,0,0,0,0,0,0,0,0.32944,0,6.80609,0.03308,0,0,0,0,0,0,0,0,0,0,0.0402,0,0,1.83417,0.39822,0,0,0,0,0,0,0,0,0,0,0.95194,1.15579,0,0,0,0,0,0,0.04929,0,0,0,0,0,0,0,0,0,0,3.6707,0,0,0,2.90769,0,0,0
k__Bacteria|p__Firmicutes|c__CFGB42691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03373,0,0,0.03223,0,0,0,0,0,0,0,0.00066,0,0.06465,0.00521,0,0.00807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__CFGB1217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02757,0,0.01474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01818,0,0,0.00137,0,0,0,0,0,0.01387,0,0.00502,0.00592,0,0,0,0,0,0,0,0,0,0.02466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05206,0,0.01171,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__CFGB3035|o__OFGB3035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02594,0,0.19096,0,0,0,0,0,2.89135,0,0,0,0,0,0,0.04431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176,0,0.26629,0,0,0,0,0,0.00607,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10472,0,0,0,0,0,0,0,0,0,0.0067,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00956,0,0.11164,0,0,0,0,0,0,0,0,0.00094,0.05843,0,0,0,0,0,0,0,0,0,0.00617,0,0,0,0.15271,0,0,0,0,0,0,0.13599,0,0,0,0,0,0,0,0.10484,0,0,0,0,0,0,0,0,0,0,0.11735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01692,0,0,0,0.20553,0,0,0,0,0,0,0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales,0.23906,0,0,0,0,0,0,0,0,0,0,0,2.55844,0,0,0,0,0,0,0,0,0,0,0,1.4188,0,0,0,0,0,0,0,0,0,0,0.15253,0,0,0,0,0,0,0,0,0,0.01605,0,0.00108,0,0,0,0,0,0.52028,0,0.22436,0,0,0,0,0.09919,0,0,0,0,0,0,0,0.12464,0,0,0,0,0,0.00906,0,0,0,0,0,0,0,0,0.07797,0,0.23778,0,0,0,0,0,0.03778,0,0,0,0,0,0,0.17374,0,0,0,0,0,0,0.05348,0.60634,0,0,0,0.02991,0,0,0,0.16481,0.03992,0,0,0,0.2195,0,0.4782,0.055,0,0,0,0,0,0,9.88677,0.33559,6.54336,0,0.57383,0,0,0.02778,0,0,0,0.66438,0,0,0,0,0,0,0,0,0,0,0,0.32944,0,6.80609,0.03308,0,0,0,0,0,0,0,0,0,0,0.0402,0,0,1.83417,0.39822,0,0,0,0,0,0,0,0,0,0,0.95194,1.15579,0,0,0,0,0,0,0.04929,0,0,0,0,0,0,0,0,0,0,3.6707,0,0,0,2.90769,0,0,0
k__Bacteria|p__Firmicutes|c__CFGB42691|o__OFGB42691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03373,0,0,0.03223,0,0,0,0,0,0,0,0.00066,0,0.06465,0.00521,0,0.00807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Candidatus_Borkfalkiales,0.07679,0,0,0,0,0,0,0,0,0,0,1.66217,0.02434,0,0,0,0,0,0,0,0,0,0.02437,0,0,0,0,0,0,0,0,0.00282,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10137,0,0,0,0,0.03872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01904,0,0,0.05226,0,0,0,0,0,0,0,0,0.05235,0,0,0,0,0,0,0,0,0,0,0,1.97927,0,0,0,0.00752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12866,0.00227,0,0.04888,0,0,0,0,0,0,0,0,0,0,0.00148,0,0,0,0.02369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__CFGB1217|o__OFGB1217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02757,0,0.01474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01818,0,0,0.00137,0,0,0,0,0,0.01387,0,0.00502,0.00592,0,0,0,0,0,0,0,0,0,0.02466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05206,0,0.01171,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__CFGB3035|o__OFGB3035|f__FGB3035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02594,0,0.19096,0,0,0,0,0,2.89135,0,0,0,0,0,0,0.04431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176,0,0.26629,0,0,0,0,0,0.00607,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10472,0,0,0,0,0,0,0,0,0,0.0067,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00956,0,0.11164,0,0,0,0,0,0,0,0,0.00094,0.05843,0,0,0,0,0,0,0,0,0,0.00617,0,0,0,0.15271,0,0,0,0,0,0,0.13599,0,0,0,0,0,0,0,0.10484,0,0,0,0,0,0,0,0,0,0,0.11735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01692,0,0,0,0.20553,0,0,0,0,0,0,0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae,0.23906,0,0,0,0,0,0,0,0,0,0,0,2.55844,0,0,0,0,0,0,0,0,0,0,0,1.4188,0,0,0,0,0,0,0,0,0,0,0.15253,0,0,0,0,0,0,0,0,0,0.01605,0,0.00108,0,0,0,0,0,0.52028,0,0.22436,0,0,0,0,0.09919,0,0,0,0,0,0,0,0.12464,0,0,0,0,0,0.00906,0,0,0,0,0,0,0,0,0.07797,0,0.23778,0,0,0,0,0,0.03778,0,0,0,0,0,0,0.17374,0,0,0,0,0,0,0.05348,0.60634,0,0,0,0.02991,0,0,0,0.16481,0.03992,0,0,0,0.2195,0,0.4782,0.055,0,0,0,0,0,0,9.88677,0.33559,6.54336,0,0.57383,0,0,0.02778,0,0,0,0.66438,0,0,0,0,0,0,0,0,0,0,0,0.32944,0,6.80609,0.03308,0,0,0,0,0,0,0,0,0,0,0.0402,0,0,1.83417,0.39822,0,0,0,0,0,0,0,0,0,0,0.95194,1.15579,0,0,0,0,0,0,0.04929,0,0,0,0,0,0,0,0,0,0,3.6707,0,0,0,2.90769,0,0,0
k__Bacteria|p__Firmicutes|c__CFGB42691|o__OFGB42691|f__FGB42691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03373,0,0,0.03223,0,0,0,0,0,0,0,0.00066,0,0.06465,0.00521,0,0.00807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Candidatus_Borkfalkiales|f__Candidatus_Borkfalkiaceae,0.07679,0,0,0,0,0,0,0,0,0,0,1.66217,0.02434,0,0,0,0,0,0,0,0,0,0.02437,0,0,0,0,0,0,0,0,0.00282,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10137,0,0,0,0,0.03872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01904,0,0,0.05226,0,0,0,0,0,0,0,0,0.05235,0,0,0,0,0,0,0,0,0,0,0,1.97927,0,0,0,0.00752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12866,0.00227,0,0.04888,0,0,0,0,0,0,0,0,0,0,0.00148,0,0,0,0.02369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__CFGB1217|o__OFGB1217|f__FGB1217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02757,0,0.01474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01818,0,0,0.00137,0,0,0,0,0,0.01387,0,0.00502,0.00592,0,0,0,0,0,0,0,0,0,0.02466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05206,0,0.01171,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella,0,0,0,0,0.64809,0.38451,0,0,0,0,0.88185,0,0,1.28426,0.62976,0,0,0,0,0,10.6473,0,0,0,0.33062,0,2.66278,0,0,0,0,0,0,0.97164,0,0,0,0,0,0,0,0,0,3.11651,0.50753,0,1.63788,0,0,0,0,0,0,1.87867,0,0.28726,0,0.37441,0,0,0.09131,0,0,0,0,0,0,0,0.06275,0,0,0,0,0,0,0,1.42013,0,0,1.70581,0,0,0,0.15907,0,0,0,0,0,0,0,0,0,0,0.48619,0.76461,0,0,0,0,0,0,0,0,0,1.44773,0,1.4281,0.39162,0,1.0294,0.85349,0,0,0,0,0.79378,1.01203,0,0,0,0.1248,0,0,0,0,0.06592,0,0.03414,0,3.25202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.76765,0.44425,3.27697,0.17073,0,0,0,0,0,0,0,0,0,0,0,0.40287,0,0,0,0,0,0.10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22897,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB9632,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59446,0,0,0,0,0.03067,0,0,0,0,0,0,0,0.0009,0,0,0,0,0.67924,0,0.0007,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09211,0,0.00735,0.24299,0,0,0,0,0,0,0,0.05717,0,0,0,0,0,0,0,0.09478,0,0.01628,0,0,0,0,0,0.00856,0,0,2.50155,0,0,0,0,0,0.23529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18013,0,0,0,0,1.37923,0,0,0,0.64388,0.03264,0.11564,0,0.07404,0,0,0.09033,1.18866,0.019,0,0,0.02856,0,0,0,0,0,0,0.18543,0.35006,0,0.44781,0,0.57569,0.97211,0,0,0,0.72075,0.15887,0,0.36782,0,0,0.11621,0,0,0,0,0,0,0,0.29197,0,0,0,0,0.07296,0,0,0,0,0,0,0,0,0,0,0.23845,0,0,0,0,0,0,0,0,1.05079,0,0,1.18442,0.26093,0,0,0,0,0,0,0,0.13842,0,0,0,0,0,0,1.59436,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Rikenellaceae_unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0.59492,0,0,0,0,0,0,0,0,0,0,0,0.19896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66652,0.21146,0,0.06047,0,0,0,0,0,0.9619,0,0,0,0,3.95421,0,1.86888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91484,0,0,9.92377,0,0,0,0,0,0,0,0.45325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83397,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__GGB3478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60954,0.0198,0,0.72336,0,0,0,0,0,0,0,0,0,1.11678,0.00021,0,0.25714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Monoglobus,0,0,0,0,0,0,0,0,0,0,0,0,0.00944,0,0,0.00389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12436,0.11174,0,0,0,0,0.29349,0,0,1.28342,0,0,0,0,0,0,0,0,0,0,0.48807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02413,0,0,0,0,0.49004,0,0,0,0.01169,0,0,0.05861,0.0143,0,0,0,0,0.0542,0,0,0.45852,0,0,0,0,0,0,0.00082,0,0,0,0,0.44745,0,0,0,0,0.39909,0,0,0,0,0,0,0,0.02041,0,0,0,0,0,0,0,1.04949,0,0,0,0,0,0,0,0.22697,0,0,0,0,0,0,0,0.0794,0,0,0.13559,0.18474,0,0,0,0,0,0,0,0,0,0,0.05004,0,0,0,0,0,0,0,0,0,0,0,0,0.3099,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__CFGB3035|o__OFGB3035|f__FGB3035|g__GGB9524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02594,0,0.19096,0,0,0,0,0,0,0,0,0,0,0,0,0.04431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26629,0,0,0,0,0,0.00607,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10472,0,0,0,0,0,0,0,0,0,0.0067,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00956,0,0.11164,0,0,0,0,0,0,0,0,0,0.05843,0,0,0,0,0,0,0,0,0,0.00617,0,0,0,0.15271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10484,0,0,0,0,0,0,0,0,0,0,0.11735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01692,0,0,0,0.20553,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB9640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05789,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter,0.14673,0,0,0,0,0,0,0,0,0,0,0,2.55844,0,0,0,0,0,0,0,0,0,0,0,1.4188,0,0,0,0,0,0,0,0,0,0,0.15253,0,0,0,0,0,0,0,0,0,0.01605,0,0.00108,0,0,0,0,0,0.52028,0,0.22436,0,0,0,0,0.09919,0,0,0,0,0,0,0,0.12464,0,0,0,0,0,0.00906,0,0,0,0,0,0,0,0,0.07797,0,0.23778,0,0,0,0,0,0.03778,0,0,0,0,0,0,0.17374,0,0,0,0,0,0,0.05348,0.60634,0,0,0,0.02991,0,0,0,0.14287,0.03992,0,0,0,0.1463,0,0.4782,0.055,0,0,0,0,0,0,9.88677,0.33559,6.54336,0,0.57383,0,0,0.02778,0,0,0,0.66438,0,0,0,0,0,0,0,0,0,0,0,0.32944,0,6.80609,0.03308,0,0,0,0,0,0,0,0,0,0,0.0402,0,0,1.83417,0.39822,0,0,0,0,0,0,0,0,0,0,0.95194,1.15579,0,0,0,0,0,0,0.04929,0,0,0,0,0,0,0,0,0,0,3.6707,0,0,0,2.90769,0,0,0
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048|f__FGB3048|g__GGB9559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__CFGB42691|o__OFGB42691|f__FGB42691|g__GGB51441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03373,0,0,0.03223,0,0,0,0,0,0,0,0.00066,0,0.06465,0.00521,0,0.00807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
