clade_name,CDFMT_3,CDFMT_4,CDFMT_5,CDFMT_41,CDFMT_43,220509_CDFMT-58,220509_CDFMT-59,220509_CDFMT-60,220509_CDFMT-61,220509_CDFMT-84,220509_CDFMT-85,220509_CDFMT-86,Expt2_eng_stool_2,Expt2_eng_stool_3,Expt2_eng_stool_4,Expt2_eng_stool_1,S97,S98,S99,S175,S176,S177,S101,S102,S103,S104,S179,S180,S181,S182,S105,S107,S183,S184,S185,S186,S109,S110,S111,S187,S188,S189,S190,S112,S113,S191,S192,S193,CDFMT_6,CDFMT_7,CDFMT_8,CDFMT_9,CDFMT_44,NextSeq1_1-4,NextSeq1_1-5,NextSeq1_1-6,220509_CDFMT-62,220509_CDFMT-63,220509_CDFMT-64,220509_CDFMT-65,Expt2_eng_stool_5,Expt2_eng_stool_8,Expt2_eng_stool_7,Expt2_eng_stool_6,S198,S199,DLAP-S114,DLAP-S115,DLAP-S116,S202,S203,S204,S205,CDFMT_10,CDFMT_11,CDFMT_12,CDFMT_13,NextSeq1_1-7,NextSeq1_1-8,NextSeq1_1-9,Expt2_eng_stool_10,Expt2_eng_stool_9,CDFMT_14,CDFMT_15,CDFMT_16,CDFMT_17,NextSeq1_1-10,NextSeq1_1-11,NextSeq1_1-12,NextSeq1_1-13,220509_CDFMT-68,220509_CDFMT-69,Expt2_eng_stool_14,Expt2_eng_stool_13,Expt2_eng_stool_12,Expt2_eng_stool_11,NextSeq1_1-14,NextSeq1_1-15,NextSeq1_1-16,220509_CDFMT-70,220509_CDFMT-71,220509_CDFMT-72,Expt2_eng_stool_17,Expt2_eng_stool_16,Expt2_eng_stool_15,Expt2_eng_stool_18,S118,S119,S120,S121,S122,S123,S124,S125,S126,S127,S128,S129,S130,S131,S132,S133,S134,S135,S136,S137,S160,S161,S162,S167,S168,S169,S170,S194,S195,S196,S197,S210,S211,S212,S214,S215,S216,S217,S218,S219,S220,S221,S222,S223,S224,S225,S226,S227,S228,S229,S230,S231,S252,S253,S254,S255,S260,S262,S263,S268,S269,S270,S271,S272,S273,S274,S275,S300,S301,S302,S303,S304,S305,S306,S307,S308,S309,S310,S311,S312,S313,S314,S315,S316,S321,S322,S323,CDFMT_18,CDFMT_19,CDFMT_21,CDFMT_22,CDFMT_40,S100,220509_CDFMT-102,220509_CDFMT-104,220509_CDFMT-35,220509_CDFMT-36,220509_CDFMT-37,220509_CDFMT-38,220509_CDFMT-39,220509_CDFMT-40,220509_CDFMT-41,220509_CDFMT-42,220509_CDFMT-44,220509_CDFMT-45,220509_CDFMT-46,220509_CDFMT-47,220509_CDFMT-49,220509_CDFMT-50,220509_CDFMT-51,220509_CDFMT-54,220509_CDFMT-55,220509_CDFMT-56,220509_CDFMT-57,220509_CDFMT-66,220509_CDFMT-73,220509_CDFMT-74,220509_CDFMT-75,220509_CDFMT-76,220509_CDFMT-77,220509_CDFMT-87,220509_CDFMT-88,220509_CDFMT-89,220509_CDFMT-90,220509_CDFMT-91,220509_CDFMT-92,220509_CDFMT-93,220509_CDFMT-94,220509_CDFMT-95,220509_CDFMT-96,NextSeq1_1-17,CDFMT_20
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Massilioclostridium|s__Massilioclostridium_coli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00801,0.00266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00037,0,0,0,0.00607,0.03625,0,0,0.01839,0.00126,0,0,0,0,0,0,0.02282,0.01624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00433,0.00517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00088,0.00417,0,0,0,0,0,0.0569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02339
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Massilioclostridium|s__Massilioclostridium_coli|t__SGB29305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00801,0.00266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00037,0,0,0,0.00607,0.03625,0,0,0.01839,0.00126,0,0,0,0,0,0,0.02282,0.01624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00433,0.00517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00088,0.00417,0,0,0,0,0,0.0569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02339
k__Bacteria|p__Actinobacteria|c__Actinobacteria,0.49,0.92967,0.52599,0.11517,0,1.168,3.53736,1.45077,0.89554,0.59839,3.97951,1.65614,3.50148,4.42334,6.0274,8.48951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03163,0.33448,0.40287,0.35222,0.07672,0.06792,0,0.17739,0.01137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.08501,3.2866,0.91248,0.71614,3.7846,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00305,0.0424,0.88836,0.12527,0,0.00225,0.03188,0.00158,0.72482,0.17193,0.00454,0.04784,0.10733,0.05451,0,0,0,0.18779,0.46928,0.20177,0.15162,0.19434,2.88245,0.76623,0,0,0,0,0,0,0,0,0.18352,0.43434,0.00704,0,0,0,0,0,0,0.00398,0.00858,0,0.02707,1.25104,1.13262,0.06639,0.02796,0.00742,0.0571,0,0,0,0,0,0,0,0,0,0,0,0.13655,0.12334,0.02641,0.04216,0,0,0,0,0,0,0,0,0,0,0,0,5.96703,4.61778,0,0,0,0,0,0,0,0,0,0,0.48167,0.35204,0.10242,0.12954,0,0,0,0,0,0,0,0,0,0,0,0,7.06904,3.49795,0,0,0,5.82945,1.00115,3.78438,0,0.0574,0,0,0,2.9028,3.81262,7.13909,3.86216,0,0,0,0,0,0.01479,0,0,0.62493,4.40882,2.90202,0,0,0,0,0,0.76412,0.0041,0.00919,0.01296,0,2.05048,0,0,0,0,0,0,0.00711,0,0.02028,0.01885,0.39166
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales,0.49,0.92967,0.52599,0.11517,0,1.168,3.53736,1.45077,0.89554,0.59839,3.97951,1.65614,3.50148,4.42334,6.0274,8.48951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03163,0.33448,0.40287,0.35222,0.07672,0.06792,0,0.17739,0.01137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.08501,3.2866,0.91248,0.71614,3.7846,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00305,0.0424,0.88836,0.12527,0,0.00225,0.03188,0.00158,0.72482,0.17193,0.00454,0.04784,0.10733,0.05451,0,0,0,0.18779,0.46928,0.20177,0.15162,0.19434,2.88245,0.76623,0,0,0,0,0,0,0,0,0.18352,0.43434,0.00704,0,0,0,0,0,0,0.00398,0.00858,0,0.02707,1.25104,1.13262,0.06639,0.02796,0.00742,0.0571,0,0,0,0,0,0,0,0,0,0,0,0.13655,0.12334,0.02641,0.04216,0,0,0,0,0,0,0,0,0,0,0,0,5.96703,4.61778,0,0,0,0,0,0,0,0,0,0,0.48167,0.35204,0.10242,0.12954,0,0,0,0,0,0,0,0,0,0,0,0,7.06904,3.49795,0,0,0,5.82945,1.00115,3.78438,0,0.0574,0,0,0,2.9028,3.81262,7.13909,3.86216,0,0,0,0,0,0.01479,0,0,0.62493,4.40882,2.90202,0,0,0,0,0,0.76412,0.0041,0.00919,0.01296,0,2.05048,0,0,0,0,0,0,0.00711,0,0.02028,0.01885,0.39166
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae,0.49,0.92967,0.52599,0.11517,0,1.168,3.53736,1.45077,0.89554,0.59839,3.97951,1.65614,3.50148,4.42334,6.0274,8.48951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03163,0.33448,0.40287,0.35222,0.07672,0.06792,0,0.17739,0.01137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.08501,3.2866,0.91248,0.71614,3.7846,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00305,0.0424,0.88836,0.12527,0,0.00225,0.03188,0.00158,0.72482,0.17193,0.00454,0.04784,0.10733,0.05451,0,0,0,0.18779,0.46928,0.20177,0.15162,0.19434,2.88245,0.76623,0,0,0,0,0,0,0,0,0.18352,0.43434,0.00704,0,0,0,0,0,0,0.00398,0.00858,0,0.02707,1.25104,1.13262,0.06639,0.02796,0.00742,0.0571,0,0,0,0,0,0,0,0,0,0,0,0.13655,0.12334,0.02641,0.04216,0,0,0,0,0,0,0,0,0,0,0,0,5.96703,4.61778,0,0,0,0,0,0,0,0,0,0,0.48167,0.35204,0.10242,0.12954,0,0,0,0,0,0,0,0,0,0,0,0,7.06904,3.49795,0,0,0,5.82945,1.00115,3.78438,0,0.0574,0,0,0,2.9028,3.81262,7.13909,3.86216,0,0,0,0,0,0.01479,0,0,0.62493,4.40882,2.90202,0,0,0,0,0,0.76412,0.0041,0.00919,0.01296,0,2.05048,0,0,0,0,0,0,0.00711,0,0.02028,0.01885,0.39166
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium,0.49,0.92967,0.52599,0.11517,0,1.168,3.53736,1.45077,0.89554,0.59839,3.97951,1.65614,3.50148,4.42334,6.0274,8.48951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03163,0.33448,0.40287,0.35222,0.07672,0.06792,0,0.17739,0.01137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.08501,3.2866,0.91248,0.71614,3.7846,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00305,0.0424,0.88836,0.12527,0,0.00225,0.03188,0.00158,0.72482,0.17193,0.00454,0.04784,0.10733,0.05451,0,0,0,0.18779,0.46928,0.20177,0.15162,0.19434,2.88245,0.76623,0,0,0,0,0,0,0,0,0.18352,0.43434,0.00704,0,0,0,0,0,0,0.00398,0.00858,0,0.02707,1.25104,1.13262,0.06639,0.02796,0.00742,0.0571,0,0,0,0,0,0,0,0,0,0,0,0.13655,0.12334,0.02641,0.04216,0,0,0,0,0,0,0,0,0,0,0,0,5.96703,4.61778,0,0,0,0,0,0,0,0,0,0,0.48167,0.35204,0.10242,0.12954,0,0,0,0,0,0,0,0,0,0,0,0,7.06904,3.49795,0,0,0,5.82945,1.00115,3.78438,0,0.0574,0,0,0,2.9028,3.81262,7.13909,3.86216,0,0,0,0,0,0.01479,0,0,0.62493,4.40882,2.90202,0,0,0,0,0,0.76412,0.0041,0.00919,0.01296,0,2.05048,0,0,0,0,0,0,0.00711,0,0.02028,0.01885,0.39166
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum,0,0,0,0,0,0.07804,2.04044,0,0.37368,0.15953,2.27736,0.28546,2.36721,3.48079,4.54205,7.10452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02133,0.30124,0.36643,0.322,0.04826,0.03792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10017,0.10206,0.09405,0.09963,2.50978,0.68935,0,0,0,0,0,0,0,0,0.18352,0.42154,0.00704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13296,0.12334,0.01387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48086,0.35204,0.06837,0.08844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3599,0.41597,1.49653,0,0,0,0,0,0.85024,2.1303,5.30016,2.49542,0,0,0,0,0,0,0,0,0.19145,2.85806,2.45816,0,0,0,0,0,0.17214,0,0,0,0,0.42845,0,0,0,0,0,0,0,0,0,0.01885,0.08158
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_paraputrificum,0.60614,1.73807,0.36846,0.13659,0.0404,0.28241,0.42272,0.01385,0.0099,0.19893,0,0.04804,0,0,0.02014,0.00642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13642,0,0.05467,0.06792,0.18369,0.18235,0,0.235,0,0,0,0.00963,0.00749,0.00231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29825,0.25315,0.68027,0.0588,0,0,0.0858,0.08093,0.05858,0.14263,0,0,0.0374,0,0,0,0,0,0.05883,0,0,0,0,0,0,0,0.3818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0892,0.37889,0.27927,0,0.0726,0.06342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425,0.03778,0.16146,0.05868,0,0,0.04033,0.07928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01866,0.11343,0.09296,0.16512,0,0,0,0.02762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06752,0.13937,0,0,0,0,0.02004,0,0.04114,0,0,0,0,0.31712,0,0,0,0,0,0,0,0,0,0,1.07778,0,0,0,0,0,0.0223,0,0,0,0,0.2964,0.117,0,0,0,0,0.05165
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_hansenii,10.79269,16.9329,11.65256,10.64432,14.5748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01369,0,0,0,0,0,0,0,0,0,0.67936,0.00055,0.00493,0,0,0,0.03855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12242,0.01986,0.05786,0.09558,0.16407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.90475,12.5469,9.48467,1.47813,1.16714,2.27911,8.08918,4.50997,6.88122,4.82498,0,0,0,0,0,0,0,0,0.02872,0.96889,0.84346,0,0,0,0,0,0,0,0,0,0,0,0,1.09541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53852,0.89546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31772,0,0,0,0,0.00933,0.03168,0,0,0,0,0,0.03235,0.22753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06125,0.07555,0,0.83985,2.5243,1.44989,0,8.4213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.78562,3.98911,0.93479,0,0,0,0,0,3.10928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3957,5.71128
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum|t__SGB17237,0,0,0,0,0,0.07804,2.04044,0,0.37368,0.15953,2.27736,0.28546,2.36721,3.48079,4.54205,7.10452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02133,0.30124,0.36643,0.322,0.04826,0.03792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10017,0.10206,0.09405,0.09963,2.50978,0.68935,0,0,0,0,0,0,0,0,0.18352,0.42154,0.00704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13296,0.12334,0.01387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48086,0.35204,0.06837,0.08844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3599,0.41597,1.49653,0,0,0,0,0,0.85024,2.1303,5.30016,2.49542,0,0,0,0,0,0,0,0,0.19145,2.85806,2.45816,0,0,0,0,0,0.17214,0,0,0,0,0.42845,0,0,0,0,0,0,0,0,0,0.01885,0.08158
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_paraputrificum|t__SGB6187,0.60614,1.73807,0.36846,0.13659,0.0404,0.28241,0.42272,0.01385,0.0099,0.19893,0,0.04804,0,0,0.02014,0.00642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13642,0,0.05467,0.06792,0.18369,0.18235,0,0.235,0,0,0,0.00963,0.00749,0.00231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29825,0.25315,0.68027,0.0588,0,0,0.0858,0.08093,0.05858,0.14263,0,0,0.0374,0,0,0,0,0,0.05883,0,0,0,0,0,0,0,0.3818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0892,0.37889,0.27927,0,0.0726,0.06342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425,0.03778,0.16146,0.05868,0,0,0.04033,0.07928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01866,0.11343,0.09296,0.16512,0,0,0,0.02762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06752,0.13937,0,0,0,0,0.02004,0,0.04114,0,0,0,0,0.31712,0,0,0,0,0,0,0,0,0,0,1.07778,0,0,0,0,0,0.0223,0,0,0,0,0.2964,0.117,0,0,0,0,0.05165
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_hansenii|t__SGB4794_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01369,0,0,0,0,0,0,0,0,0,0.67936,0.00055,0.00493,0,0,0,0.03855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12242,0.01986,0.05786,0.09558,0.16407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02872,0.96889,0.84346,0,0,0,0,0,0,0,0,0,0,0,0,1.09541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53852,0.89546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31772,0,0,0,0,0.00933,0.03168,0,0,0,0,0,0.03235,0.22753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06125,0.07555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum,0.49,0.92967,0.52599,0.11517,0,1.08996,1.49692,1.45077,0.52186,0.43886,1.70215,1.37068,1.13427,0.94254,1.48535,1.38499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03324,0.03279,0.01776,0.02846,0.03,0,0.17424,0.01137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00305,0.0424,0.7514,0.12527,0,0.00225,0.03188,0.00158,0.72482,0.17193,0.00454,0.04784,0.10733,0.05451,0,0,0,0.18352,0.35759,0.06379,0.05757,0.07817,0.20265,0.04005,0,0,0,0,0,0,0,0,0,0.01147,0,0,0,0,0,0,0,0.00398,0.00858,0,0.02707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00359,0,0.01254,0.04216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03405,0.0411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32791,0.52765,2.14749,0,0.0574,0,0,0,2.05256,1.68231,1.83892,1.36675,0,0,0,0,0,0.01479,0,0,0.11358,0.60213,0.19972,0,0,0,0,0,0.49199,0.0041,0.00919,0.01296,0,1.62202,0,0,0,0,0,0,0.00711,0,0.02028,0,0.28751
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_breve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01029,0,0.00366,0.01247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91248,0.71614,3.7846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00427,0,0.01352,0,0.01654,0.1275,0.00611,0,0,0,0,0,0,0,0,0,0.00133,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06639,0.02796,0.00742,0.0571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3199,0.94862,0.24414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum|t__SGB17248,0.49,0.92967,0.52599,0.11517,0,1.08996,1.49692,1.45077,0.52186,0.43886,1.70215,1.37068,1.13427,0.94254,1.48535,1.38499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03324,0.03279,0.01776,0.02846,0.03,0,0.17424,0.01137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00305,0.0424,0.7514,0.12527,0,0.00225,0.03188,0.00158,0.72482,0.17193,0.00454,0.04784,0.10733,0.05451,0,0,0,0.18352,0.35759,0.06379,0.05757,0.07817,0.20265,0.04005,0,0,0,0,0,0,0,0,0,0.01147,0,0,0,0,0,0,0,0.00398,0.00858,0,0.02707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00359,0,0.01254,0.04216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03405,0.0411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32791,0.52765,2.14749,0,0.0574,0,0,0,2.05256,1.68231,1.83892,1.36675,0,0,0,0,0,0.01479,0,0,0.11358,0.60213,0.19972,0,0,0,0,0,0.49199,0.0041,0.00919,0.01296,0,1.62202,0,0,0,0,0,0,0.00711,0,0.02028,0,0.28751
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_breve|t__SGB17247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01029,0,0.00366,0.01247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91248,0.71614,3.7846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00427,0,0.01352,0,0.01654,0.1275,0.00611,0,0,0,0,0,0,0,0,0,0.00133,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06639,0.02796,0.00742,0.0571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3199,0.94862,0.24414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Verrucomicrobia,6.45604,8.53134,9.45569,8.62556,6.6258,14.00943,9.33683,6.95049,7.24629,7.68912,11.23248,8.67242,9.35504,9.69526,11.43823,7.16986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.72335,3.07449,4.85354,3.14505,3.21545,2.92501,6.50933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.62943,6.43161,5.28648,4.89949,3.57117,5.85063,4.45515,18.07579,13.95463,0.04966,0.95922,1.18786,0.16603,0.70392,0.746,0.82756,0.56904,0.67582,1.28598,4.14029,1.64843,2.06536,5.96665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1575,4.95017,4.53107,0,0,0,6.29663,5.0107,3.49898,7.51777,0,0,0,0,0,0,5.76903,4.46005,6.48448,8.87061,0,0,0,0,0,0,0,0,0,0,0,4.82317,4.13509,3.6201,5.15092,0,0,0,0,8.53424,4.15852,4.93663,7.48243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86605,4.26387,4.7465,4.82415,0,0,0,0,5.83407,5.69042,4.95051,5.80881,0,0,0,0,0,0,0,0,0,6.8507,0,0,0,10.87246,5.9311,10.37596,6.36505,0,0,0,0,5.88583,1.18456,2.42311,2.22365,0,0,0,0,0,0,0,8.60584,0,0,0,0,0,4.24275,0,0,0,0,7.85402,9.96492,1.93808,1.40291,1.42259,0,0
