SampleName	SRA_ID	MouseID	Day	Cage	Sex	CdiffStrain	Clade	MouseIDExp	CageExp	Seq	MicrobiomeType	Experiment
GNCD_118	GNCD_118	21	28	3B	M	SF151	Clade 1	3B_21_DefCom1	3B-DefCom1	3994408	DefCom1	A
DefCom2_138	DefCom2_138	SC-2E-M-RP	28	2E	M	SF151	Clade 1	SC-2E-M-RP_DefCom2	2E-DefCom2	4036587	DefCom2	A
DefCom2_135	DefCom2_135	SB-2D-F-LP	28	2D	F	SF127	Clade 1	SB-2D-F-LP_DefCom2	2D-DefCom2	4039982	DefCom2	A
DefCom2_159	DefCom2_159	SE-3E-F-LP	28	3E	F	UK1_SF166	Clade 2	SE-3E-F-LP_DefCom2	3E-DefCom2	4144606	DefCom2	A
GNCD_128	GNCD_128	31	28	4E	M	UK1_SF166	Clade 2	4E_31_DefCom1	4E-DefCom1	4236554	DefCom1	A
GNCD_109	GNCD_109	12	28	2D	F	SF127	Clade 1	2D_12_DefCom1	2D-DefCom1	4281077	DefCom1	A
DefCom2_137	DefCom2_137	SC-2E-M-NP	28	2E	M	SF151	Clade 1	SC-2E-M-NP_DefCom2	2E-DefCom2	4289128	DefCom2	A
DC1DC2Bo_D28_M16	DC1DC2Bo_D28-M16	16	28	1F	F	SF151	Clade 1	1F_16_DefCom2		4337855	DefCom2	C
DefCom2_133	DefCom2_133	SB-2D-F-NP	28	2D	F	SF127	Clade 1	SB-2D-F-NP_DefCom2	2D-DefCom2	4450902	DefCom2	A
DefCom2_125	DefCom2_125	SA-2B-F-NP	28	2B	F	SF107	Clade 1	SA-2B-F-NP_DefCom2	2B-DefCom2	4520997	DefCom2	A
DefCom2_158	DefCom2_158	SE-3E-F-RP	28	3E	F	UK1_SF166	Clade 2	SE-3E-F-RP_DefCom2	3E-DefCom2	4577336	DefCom2	A
DefCom2_143	DefCom2_143	SC-2F-F-LP	28	2F	F	SF151	Clade 1	SC-2F-F-LP_DefCom2	2F-DefCom2	4608189	DefCom2	A
DC1DC2Bo_D28_M14	DC1DC2Bo_D28-M14	14	28	1E	M	SF151	Clade 1	1E_14_DefCom2		4612391	DefCom2	C
DefCom2_153	DefCom2_153	SE-3C-M-NP	28	3C	M	UK1_SF166	Clade 2	SE-3C-M-NP_DefCom2	3C-DefCom2	4622488	DefCom2	A
DC1DC2Bo_D28_M5	DC1DC2Bo_D28-M5	5	28	1B	F	SF151	Clade 1	1B_5_DefCom1		4783589	DefCom1	C
DC1DC2Bo_D28_M1	DC1DC2Bo_D28-M1	1	28	1A	M	SF151	Clade 1	1A_1_DefCom1		4856094	DefCom1	C
DefCom2_141	DefCom2_141	SC-2F-F-NP	28	2F	F	SF151	Clade 1	SC-2F-F-NP_DefCom2	2F-DefCom2	4923877	DefCom2	A
DefCom2_157	DefCom2_157	SE-3E-F-NP	28	3E	F	UK1_SF166	Clade 2	SE-3E-F-NP_DefCom2	3E-DefCom2	4928601	DefCom2	A
DC1DC2Bo_D28_M4	DC1DC2Bo_D28-M4	4	28	1B	F	SF151	Clade 1	1B_4_DefCom1		4998835	DefCom1	C
DefCom2_124	DefCom2_124	SA-2A-M-DR	28	2A	M	SF107	Clade 1	SA-2A-M-DR_DefCom2	2A-DefCom2	4999139	DefCom2	A
DC1DC2Bo_D28_M6	DC1DC2Bo_D28-M6	6	28	1B	F	SF151	Clade 1	1B_6_DefCom1		5069805	DefCom1	C
DefCom2_131	DefCom2_131	SB-2C-M-LP	28	2C	M	SF127	Clade 1	SB-2C-M-LP_DefCom2	2C-DefCom2	5246639	DefCom2	A
GNCD_126	GNCD_126	29	28	3E	M	UK1_SF166	Clade 2	3E_29_DefCom1	3E-DefCom1	6081261	DefCom1	A
D28_06	D28-06	6	28	1B	F	SF107	Clade 1	1B_6_DefCom1		8462978	DefCom1	B
DefCom2_161	DefCom2_161	SA-2A-M-NP	28	2A	M	SF107	Clade 1	SA-2A-M-NP_DefCom2	2A-DefCom2	8543413	DefCom2	A
GNCD_124	GNCD_124	27	28	3D	F	UK1_SF166	Clade 2	3D_27_DefCom1	3D-DefCom1	9332439	DefCom1	A
D28_20	D28-20	20	28	2C	M	SF151	Clade 1	2C_20_DefCom2		10251254	DefCom2	B
D28_08	D28-08	8	28	1C	M	SF151	Clade 1	1C_8_DefCom1		10741392	DefCom1	B
D28_09	D28-09	9	28	1C	M	SF151	Clade 1	1C_9_DefCom1		11171821	DefCom1	B
D28_05	D28-05	5	28	1B	F	SF107	Clade 1	1B_5_DefCom1		11191964	DefCom1	B
D28_21	D28-21	21	28	2C	M	SF151	Clade 1	2C_21_DefCom2		11219894	DefCom2	B
D28_15	D28-15	15	28	2A	M	SF107	Clade 1	2A_15_DefCom2		11496378	DefCom2	B
D28_04	D28-04	4	28	1B	F	SF107	Clade 1	1B_4_DefCom1		11561464	DefCom1	B
D28_14	D28-14	14	28	2A	M	SF107	Clade 1	2A_14_DefCom2		11854190	DefCom2	B
D28_12	D28-12	12	28	1D	F	SF151	Clade 1	1D_12_DefCom1		11914909	DefCom1	B
D28_23	D28-23	23	28	2D	F	SF151	Clade 1	2D_23_DefCom2		12224693	DefCom2	B
D28_19	D28-19	19	28	2C	M	SF151	Clade 1	2C_19_DefCom2		12579112	DefCom2	B
D28_02	D28-02	2	28	1A	M	SF107	Clade 1	1A_2_DefCom1		12677593	DefCom1	B
D28_16	D28-16	16	28	2B	F	SF107	Clade 1	2B_16_DefCom2		13097940	DefCom2	B
D28_22	D28-22	22	28	2D	F	SF151	Clade 1	2D_22_DefCom2		13121107	DefCom2	B
D28_07	D28-07	7	28	1C	M	SF151	Clade 1	1C_7_DefCom1		13202922	DefCom1	B
D28_10	D28-10	10	28	1D	F	SF151	Clade 1	1D_10_DefCom1		13246074	DefCom1	B
D28_03	D28-03	3	28	1A	M	SF107	Clade 1	1A_3_DefCom1		13940697	DefCom1	B
GNCD_116	GNCD_116	19	28	3A	F	SF151	Clade 1	3A_19_DefCom1	3A-DefCom1	14122372	DefCom1	A
D28_01	D28-01	1	28	1A	M	SF107	Clade 1	1A_1_DefCom1		14529471	DefCom1	B
D28_17	D28-17	17	28	2B	F	SF107	Clade 1	2B_17_DefCom2		14561439	DefCom2	B
D28_13	D28-13	13	28	2A	M	SF107	Clade 1	2A_13_DefCom2		14874347	DefCom2	B
D28_18	D28-18	18	28	2B	F	SF107	Clade 1	2B_18_DefCom2		15874177	DefCom2	B
D28_11	D28-11	11	28	1D	F	SF151	Clade 1	1D_11_DefCom1		16489358	DefCom1	B
GNCD_125	GNCD_125	28	28	3D	F	UK1_SF166	Clade 2	3D_28_DefCom1	3D-DefCom1	17417961	DefCom1	A
